hour,total_load_gbph
1, 146.19402985074626
2, 127.10199004975124
3, 103.91791044776119
4, 61.00746268656715
5, 38.4328358208955
6, 40.73383084577114
7, 48.40796019900496
8, 95.22388059701491
9, 128.64427860696514
10,137.42537313432837
11,168.05970149253733
12,197.47512437810946
13,187.7114427860696
14,217.10199004975124
15,260.9701492537313
16,278.60696518577416
17,253.83084577114428
18,279.99999999999994
19,245.48507462686564
20,208.17164179104475
21,189.36567164179104
22,239.90049751243782
23,262.8482587064676
24,229.7512437810945
