hour,residential,office,mixed,rural
1,0.9,0.0,0.36,0.54
2,0.65,0.0,0.36,0.39
3,0.6,0.0,0.27,0.36
4,0.52,0.0,0.1,0.31
5,0.34,0.0,0.06,0.2
6,0.17,0.0,0.13,0.1
7,0.15,0.01,0.17,0.09
8,0.22,0.32,0.31,0.13
9,0.18,0.19,0.5,0.11
10,0.22,0.24,0.52,0.13
11,0.26,0.5,0.6,0.16
12,0.26,1.0,0.65,0.16
13,0.3,0.38,0.7,0.18
14,0.35,0.95,0.72,0.21
15,0.44,0.8,0.92,0.26
16,0.42,1.0,0.93,0.25
17,0.6,0.5,0.88,0.36
18,0.8,0.1,1.0,0.48
19,0.8,0.04,0.85,0.48
20,0.46,0.07,0.79,0.28
21,0.79,0.01,0.6,0.47
22,1.0,0.0,0.76,0.6
23,0.94,0.0,0.89,0.56
24,0.87,0.0,0.76,0.52
